# Wavelength || Average || inc1 | inc2 | ...
  300.000000  2.98287357320167075E+02  2.98287357320167075E+02
  302.000000  3.10538030913955424E+02  3.10538030913955424E+02
  304.000000  3.23465942049993544E+02  3.23465942049993544E+02
  306.000000  3.37122552820258022E+02  3.37122552820258022E+02
  308.000000  3.51564704732677399E+02  3.51564704732677399E+02
  310.000000  3.66855390228056535E+02  3.66855390228056535E+02
  312.000000  3.83064675414374051E+02  3.83064675414374051E+02
  314.000000  4.00270812998980205E+02  4.00270812998980205E+02
  316.000000  4.18561596982459889E+02  4.18561596982459889E+02
  318.000000  4.38036028159630519E+02  4.38036028159630519E+02
  320.000000  4.58806384107317967E+02  4.58806384107317967E+02
  322.000000  4.81000822592988982E+02  4.81000822592988982E+02
  324.000000  5.04766698665983313E+02  5.04766698665983313E+02
  326.000000  5.30274851869889062E+02  5.30274851869889062E+02
  328.000000  5.57725235556792427E+02  5.57725235556792427E+02
  330.000000  5.87354439960388959E+02  5.87354439960388959E+02
  332.000000  6.19445948327711221E+02  6.19445948327711221E+02
  334.000000  6.54344441951177714E+02  6.54344441951177714E+02
  336.000000  6.92476292411318468E+02  6.92476292411318468E+02
  338.000000  7.34379869978726219E+02  7.34379869978726219E+02
  340.000000  7.80752155513821094E+02  7.80752155513821094E+02
  342.000000  8.32523924926098516E+02  8.32523924926098516E+02
  344.000000  8.90987376761013479E+02  8.90987376761013479E+02
  346.000000  9.58016959625825734E+02  9.58016959625825734E+02
  348.000000  1.03642158088105521E+03  1.03642158088105521E+03
  350.000000  1.13042867033313178E+03  1.13042867033313178E+03
  352.000000  1.24636975420012936E+03  1.24636975420012936E+03
  354.000000  1.39315030933754178E+03  1.39315030933754178E+03
  356.000000  1.58916459206556033E+03  1.58916459206556033E+03
  358.000000  1.83763340571623985E+03  1.83763340571623985E+03
  360.000000  2.06593058010583400E+03  2.06593058010583400E+03
  362.000000  2.31800324394754489E+03  2.31800324394754489E+03
  364.000000  2.74378549035100605E+03  2.74378549035100605E+03
  366.000000  3.45967409821146884E+03  3.45967409821146884E+03
  368.000000  4.62842089680989920E+03  4.62842089680989920E+03
  370.000000  6.33311796184187187E+03  6.33311796184187187E+03
  372.000000  7.82858562949232601E+03  7.82858562949232601E+03
  374.000000  7.52570444292938464E+03  7.52570444292938464E+03
  376.000000  5.94961683145151528E+03  5.94961683145151528E+03
  378.000000  4.60253701367553549E+03  4.60253701367553549E+03
  380.000000  3.78866646796448777E+03  3.78866646796448777E+03
  382.000000  3.34397297822179553E+03  3.34397297822179553E+03
  384.000000  3.11684997948908313E+03  3.11684997948908313E+03
  386.000000  3.01805473231507221E+03  3.01805473231507221E+03
  388.000000  2.99801829061802619E+03  2.99801829061802619E+03
  390.000000  3.02843565604170954E+03  3.02843565604170954E+03
  392.000000  3.09218456185828882E+03  3.09218456185828882E+03
  394.000000  3.17810345411731168E+03  3.17810345411731168E+03
  396.000000  3.27825272888433301E+03  3.27825272888433301E+03
  398.000000  3.38644184497472224E+03  3.38644184497472224E+03
  400.000000  3.49742825536416512E+03  3.49742825536416512E+03
  402.000000  3.60649619333295550E+03  3.60649619333295550E+03
  404.000000  3.70926709819742291E+03  3.70926709819742291E+03
  406.000000  3.80166096639630268E+03  3.80166096639630268E+03
  408.000000  3.87995795735741467E+03  3.87995795735741467E+03
  410.000000  3.94092115289280673E+03  3.94092115289280673E+03
  412.000000  3.98194478746341338E+03  3.98194478746341338E+03
  414.000000  4.00119389741046371E+03  4.00119389741046371E+03
  416.000000  3.99770516668511527E+03  3.99770516668511527E+03
  418.000000  3.97142662255853202E+03  3.97142662255853202E+03
  420.000000  3.92318544036314324E+03  3.92318544036314324E+03
  422.000000  3.85458633297707593E+03  3.85458633297707593E+03
  424.000000  3.76785484036642856E+03  3.76785484036642856E+03
  426.000000  3.66564765355858299E+03  3.66564765355858299E+03
  428.000000  3.55085457897036486E+03  3.55085457897036486E+03
  430.000000  3.42641418558744544E+03  3.42641418558744544E+03
  432.000000  3.29515916263234203E+03  3.29515916263234203E+03
  434.000000  3.15970004158253823E+03  3.15970004158253823E+03
  436.000000  3.02234905953037605E+03  3.02234905953037605E+03
  438.000000  2.88508073557862554E+03  2.88508073557862554E+03
  440.000000  2.74952261068404414E+03  2.74952261068404414E+03
  442.000000  2.61696838992413950E+03  2.61696838992413950E+03
  444.000000  2.48840593466250675E+03  2.48840593466250675E+03
  446.000000  2.36455361564333953E+03  2.36455361564333953E+03
  448.000000  2.24589997004047700E+03  2.24589997004047700E+03
  450.000000  2.13274306183952740E+03  2.13274306183952740E+03
  452.000000  2.02522722566995731E+03  2.02522722566995731E+03
  454.000000  1.92337589339024544E+03  1.92337589339024544E+03
  456.000000  1.82711994988624519E+03  1.82711994988624519E+03
  458.000000  1.73632157074195584E+03  1.73632157074195584E+03
  460.000000  1.65079380772080049E+03  1.65079380772080049E+03
  462.000000  1.57031635826695583E+03  1.57031635826695583E+03
  464.000000  1.49464802645144300E+03  1.49464802645144300E+03
  466.000000  1.42353639002414116E+03  1.42353639002414116E+03
  468.000000  1.35672515752094978E+03  1.35672515752094978E+03
  470.000000  1.29395964891975746E+03  1.29395964891975746E+03
  472.000000  1.23499077514972305E+03  1.23499077514972305E+03
  474.000000  1.17957783325680884E+03  1.17957783325680884E+03
  476.000000  1.12749037944319002E+03  1.12749037944319002E+03
  478.000000  1.07850939360098914E+03  1.07850939360098914E+03
  480.000000  1.03242790708237590E+03  1.03242790708237590E+03
  482.000000  9.89051230205586421E+02  9.89051230205586421E+02
