# Wavelength || Total || n=1 | n=2 | ...
  300.000000  2.75907731246938010E+03  1.80119111105171646E+03  7.67252399719177333E+02  1.52345741705941833E+02  3.37854696899716131E+01  3.87351516091857118E+00  5.76330924266864830E-01  4.74833853674567624E-02  5.26083202039094762E-03
  302.000000  2.92118781147418258E+03  1.91795944393839522E+03  8.04553902917681739E+02  1.59110807645911052E+02  3.49407699900147151E+01  3.98155341852547817E+00  5.87962756855281432E-01  4.80766227128005888E-02  5.29418408634898911E-03
  304.000000  3.09223258435715798E+03  2.04156949782352694E+03  8.43601616047312291E+02  1.66172670527176820E+02  3.61409857231020197E+01  4.09370982975508824E+00  6.00067838890166572E-01  4.87052822117879786E-02  5.33128518318665579E-03
  306.000000  3.27278374414003065E+03  2.17245705739805862E+03  8.84509857039808026E+02  1.73549553140958324E+02  3.73895380121432979E+01  4.21030192566606054E+00  6.12691555102132801E-01  4.93726097762928681E-02  5.37245851770594678E-03
  308.000000  3.46346168039546001E+03  2.31109287854800641E+03  9.27404147335740731E+02  1.81261348915396695E+02  3.86902349810138659E+01  4.33168523842576647E+00  6.25884971809740565E-01  5.00823303698421027E-02  5.41807469663749090E-03
  310.000000  3.66494006274441517E+03  2.45798598213259402E+03  9.72422645989438138E+02  1.89329830727714040E+02  4.00473306573688248E+01  4.45826008242676863E+00  6.39705845316894006E-01  5.08387485875357453E-02  5.46856096903058919E-03
  312.000000  3.87795150761969353E+03  2.61368730019738268E+03  1.01971783900988078E+03  1.97778900587023770E+02  4.14655965593898159E+01  4.59048010201485823E+00  6.54219873977862076E-01  5.16468771690137829E-02  5.52441285538897257E-03
  314.000000  4.10329403015198750E+03  2.77879371961109155E+03  1.06945854484518941E+03  2.06634891978084340E+02  4.29504094695612650E+01  4.72886316889047187E+00  6.69502267411340002E-01  5.25126028336900669E-02  5.58620892560975774E-03
  316.000000  4.34183843503823482E+03  2.95395257587021115E+03  1.12183231524303915E+03  2.15926941128251627E+02  4.45078600867878649E+01  4.87400544426035154E+00  6.85639733325172696E-01  5.34429025775965058E-02  5.65462978236096984E-03
  318.000000  4.59453684363164757E+03  3.13986665970533886E+03  1.17704833563637931E+03  2.25687449979127848E+02  4.61448889171476750E+01  5.02659976060830171E+00  7.02733021243258427E-01  5.44461290648660598E-02  5.73048273748765023E-03
  320.000000  4.86243261430902021E+03  3.33729981207461879E+03  1.23534096345983107E+03  2.35952673302981822E+02  4.78694581427307426E+01  5.18745998333854796E+00  7.20900219285728117E-01  5.55323919225387541E-02  5.81473431138018835E-03
  322.000000  5.14667199712927322E+03  3.54708320058518802E+03  1.29697409043716630E+03  2.46763476961429916E+02  4.96907716557392760E+01  5.35755377691523282E+00  7.40281085046332943E-01  5.67140741256329586E-02  5.90855366271561110E-03
  324.000000  5.44851798390341992E+03  3.77012239467547488E+03  1.36224658192662446E+03  2.58166336655794737E+02  5.16195605336161023E+01  5.53804737745308273E+00  7.61042821121672874E-01  5.80065417565234082E-02  6.01337157793067120E-03
  326.000000  5.76936699010119537E+03  4.00740539185404305E+03  1.43149914198537044E+03  2.70214681533992746E+02  5.36684588982951496E+01  5.73036782360629804E+00  7.83387908300947733E-01  5.94291355045350120E-02  6.13096208134871531E-03
  328.000000  6.11076926650451969E+03  4.26001179943029183E+03  1.50512309091367206E+03  2.82970743087207950E+02  5.58525069314512450E+01  5.93629106865756206E+00  8.07564934750399588E-01  6.10065807644039407E-02  6.26355772546504947E-03
  330.000000  6.47445433778345705E+03  4.52912345678413476E+03  1.58357174446816089E+03  2.96508161728378752E+02  5.81898365686418373E+01  6.15806928536525433E+00  8.33883898947937907E-01  6.27710334141498710E-02  6.41401641383749967E-03
  332.000000  6.86236339063923333E+03  4.81603691250086558E+03  1.66737538524491629E+03  3.10915758306384703E+02  6.07026260727166260E+01  6.39861893863743703E+00  8.62738391123689663E-01  6.47651150083889265E-02  6.58606958058170072E-03
  334.000000  7.27669154174279902E+03  5.12217838552230660E+03  1.75716127258241204E+03  3.26303146324081411E+02  6.34184617643867341E+01  6.66180559675069794E+00  8.94638717499637526E-01  6.70465318216815348E-02  6.78470354085349784E-03
  336.000000  7.71994458815830058E+03  5.44912220779266227E+03  1.85368083875526168E+03  3.42809341478268152E+02  6.63723375099216639E+01  6.95288739710119952E+00  9.30263144229443673E-01  6.96953127120513577E-02  7.01676814393043316E-03
  338.000000  8.19501770242642851E+03  5.79861438810275104E+03  1.95784731626035864E+03  3.60616417519521519E+02  6.96096947364777492E+01  7.27922768066049652E+00  9.70540590906217249E-01  7.28255431558963023E-02  7.29199259510991769E-03
  340.000000  8.70530852261213113E+03  6.17260401806077152E+03  2.07078877523087749E+03  3.79971979993958314E+02  7.31912460165035412E+01  7.65148238639461020E+00  1.01679098951912050E+00  7.66051623742095567E-02  7.62477173253200708E-03
  342.000000  9.25488556983974195E+03  6.57328660514954572E+03  2.19392425128960804E+03  4.01227702516691124E+02  7.72010415945472914E+01  8.08566271478231613E+00  1.07097815145615494E+00  8.12909249302006254E-02  8.03749818096800850E-03
  344.000000  9.84874423266457052E+03  7.00316156316041361E+03  2.32907434698906172E+03  4.24908539122549655E+02  8.17608381415718526E+01  8.60688856193568874E+00  1.13619659372537796E+00  8.72929460925039175E-02  8.56714922190279782E-03
  346.000000  1.04931801349889138E+04  7.46507973133199721E+03  2.47862023930010309E+03  4.51843938251581392E+02  8.70574823072267634E+01  9.25650508768650937E+00  1.21766739660713519E+00  9.52927900038190029E-02  9.27852370685863619E-03
  348.000000  1.11962634921541194E+04  7.96216354842282908E+03  2.64572396641982141E+03  4.83432191136485756E+02  9.33967387534047475E+01  1.01055610908509834E+01  1.32483929019780744E+00  1.06357544497762788E-01  1.02894960332674586E-02
