# Wavelength | Total | n= 1 | ...
  300.000000  2.48657646601580200E+03  1.87794873591574583E+03  5.18025403618809150E+02  8.47031598509607875E+01  5.62702874919701568E+00  2.62622715844050836E-01  9.27735289363059920E-03  2.32969406026329717E-04  4.84294577586463468E-06
  302.000000  2.61156908331160093E+03  1.98145624248177069E+03  5.36828615843707780E+02  8.72824341987327585E+01  5.72659724438523110E+00  2.65655537129978137E-01  9.30145653608827581E-03  2.31777442592665439E-04  4.77189568678451919E-06
  304.000000  2.74263866406641409E+03  2.09021098127673804E+03  5.56349724969977842E+02  8.99649757577635967E+01  5.83425741831762856E+00  2.69142590095766965E-01  9.34612535508141939E-03  2.31211889178937612E-04  4.71627723183380414E-06
  306.000000  2.88018177055472825E+03  2.20453533275736390E+03  5.76651341379429255E+02  9.27612237388258620E+01  5.95108578106486519E+00  2.73137641222778227E-01  9.41326765273178996E-03  2.31312598890585463E-04  4.67656990389966929E-06
  308.000000  3.02462898145792178E+03  2.32477706460176933E+03  5.97803184525421102E+02  9.56829714412337324E+01  6.07831512336717417E+00  2.77703800113948462E-01  9.50518179948233420E-03  2.32130713317209677E-04  4.65350292400380870E-06
  310.000000  3.17644858275284014E+03  2.45131169738640892E+03  6.19883128942528742E+02  9.87436097809771240E+01  6.21736795109902296E+00  2.82915664022287350E-01  9.62464848215755127E-03  2.33731215679155215E-04  4.64810573274930023E-06
  312.000000  3.33615081058422493E+03  2.58454514408775049E+03  6.42978461358059803E+02  1.01958428585433154E+02  6.36989857607916310E+00  2.88862068445858489E-01  9.77505037839050336E-03  2.36196301652712886E-04  4.66177612159975785E-06
  314.000000  3.50429275787818688E+03  2.72491666373792532E+03  6.67187400697701491E+02  1.05344992328769152E+02  6.53784660558220931E+00  2.95649652747566605E-01  9.96052921175680228E-03  2.39629876074197527E-04  4.69637278669805913E-06
  316.000000  3.68148408750002545E+03  2.87290217820187763E+03  6.92620948248601849E+02  1.08923612781519509E+02  6.72350561960644022E+00  3.03407535988159449E-01  1.01861944654498635E-02  2.44163623828320693E-04  4.75434229311221191E-06
  318.000000  3.86839373686195540E+03  3.02901801242366309E+03  7.19405156135728475E+02  1.12717949223071102E+02  6.92961234426599226E+00  3.12293526435457769E-01  1.04584045769475255E-02  2.49965318578993694E-04  4.83889542530229016E-06
