4709128918272132 -1.64965688407203+5.77176308089817i
4594272115387446 -1.69952424170913+5.79072786958027i
4484884684068698 -1.72498935526333+5.76805258966174i
4380585040253146 -1.73865658509043+5.68833474081242i
4281026289338302 -1.7589198057072+5.54188734519018i
4185892371797451 -1.807032051963+5.32688681052829i
4094894711540984 -1.90335934235152+5.04984539595625i
4007769292146496 -2.06391079166706+4.7241557130984i
3924274098560110 -2.29817537480304+4.36722463694123i
3844186872058884 -2.60871298806102+3.99721438663773i
3767303134617706 -2.99223400282977+3.63036432730633i
3693434445703634 -3.44147334999515+3.27941223331571i
3622406860209333 -3.94715128166329+2.95311882593976i
3554059560960100 -4.49956326039446+2.65658289947468i
3488243643164543 -5.08963505215435+2.39196159584833i
3424821031470642 -5.70948264525254+2.1592905242526i
3363663513051524 -6.35260602027178+1.95722355083995i
3304651872471672 -7.01385509111368+1.78361755135605i
3247675116049746 -7.68927797957665+1.63595352736266i
3192629775099750 -8.37592536600172+1.51161727581461i
3139419278848088 -9.07165375859948+1.40807251911031i
3087953389030906 -9.77494888491324+1.32295781121373i
3038147689207828 -10.4847771008897+1.2541325990708i
2989923122712466 -11.2004654292473+1.1996912119358i
2943205573920083 -11.9216073858371+1.1579578342266i
2897925488167466 -12.6479905055552+1.1274711203011i
2854017526225535 -13.3795413821988+1.1069639569183i
2811420249714706 -14.1162844630831+1.0953417250469i
2770075834277725 -14.8583114461013+1.0916609943286i
2729929807693990 -15.6057587422527+1.0951096791511i
2690930810441218 -16.3587910151833+1.1049891269446i
2653030376491342 -17.1175892665843+1.1206982772732i
2616182732373407 -17.882342302709+1.141719842632i
2580344612751854 -18.6532407035157+1.1676083641007i
2545475090957910 -19.4304726358324+1.1979799517014i
2511535423078471 -20.2142210189483+1.2325035078642i
2478488904353754 -21.0046616768941+1.2708932386626i
2446300736764744 -21.8019622060217+1.3129022727566i
2414937906806222 -22.6062813569638+1.3583172270912i
2384369072542852 -23.4177687825639+1.4069535783414i
2354564459136066 -24.2365650424281+1.4586517182297i
